shipment_id,date,month,origin_port,destination_port,transport_mode,product_category,distance_km,weight_mt,fuel_price_index,geopolitical_risk_score,weather_condition,carrier_reliability_score,lead_time_days,disruption_occurred,copper__usd_per_mt
SC-10795,2024-12-15,2024-12-01,Rotterdam,Antwerp,Rail,Automotive,13145.8,397.76,2.32,2.1,Clear,0.891,9.74,0,8916.32
SC-10796,2024-01-13,2024-01-01,Rotterdam,Hamburg,Rail,Pharmaceuticals,14015.72,68.74,2.55,3.7,Fog,0.967,17.32,1,8338.88
SC-10799,2024-04-18,2024-04-01,Singapore,Shanghai,Air,Electronics,13876.24,82.7,1.52,1.2,Clear,0.801,1.17,0,9464.43
SC-10805,2024-06-05,2024-06-01,Busan,Shanghai,Sea,Automotive,11178.44,45.11,1.49,1.1,Storm,0.589,49.03,1,9648.17
SC-10807,2024-06-29,2024-06-01,Rotterdam,Marseille,Rail,Pharmaceuticals,13920.74,490.71,2.43,8.2,Rain,0.824,15.79,1,9648.17
SC-10810,2024-10-03,2024-10-01,Hamburg,Rotterdam,Sea,Electronics,14780.2,84.1,3.33,1.1,Fog,0.725,32.98,1,9533.99
SC-10817,2024-10-01,2024-10-01,Dubai,Shanghai,Air,Perishables,6285.54,290.8,3.51,9.4,Rain,0.651,0.5,1,9533.99
SC-10818,2024-11-26,2024-11-01,Antwerp,Busan,Sea,Perishables,1294.04,464.45,1.87,0.6,Hurricane,0.734,15.26,1,9075.73
SC-10819,2024-09-08,2024-09-01,Hamburg,Singapore,Sea,Pharmaceuticals,5360.36,248.87,2.62,1.9,Storm,0.605,24.34,1,9237.48
SC-10820,2024-03-29,2024-03-01,Rotterdam,Antwerp,Sea,Electronics,12141.38,421.63,2.83,0.7,Fog,0.963,26.63,0,8689.13
SC-10821,2024-10-12,2024-10-01,Hamburg,Shanghai,Sea,Automotive,567.16,223.5,1.38,8.7,Clear,0.527,1.27,1,9533.99
SC-10823,2024-09-06,2024-09-01,Singapore,Shanghai,Sea,Electronics,6273.45,366.2,1.62,5.7,Rain,0.756,13.49,1,9237.48
SC-10829,2024-12-10,2024-12-01,Busan,Rotterdam,Air,Electronics,7057.16,267.86,2.93,0.7,Clear,0.997,0.5,0,8916.32
SC-10830,2024-01-30,2024-01-01,Busan,Rotterdam,Air,Textiles,3756.77,498.12,1.96,7.3,Hurricane,0.941,2.55,1,8338.88
SC-10832,2024-11-28,2024-11-01,Singapore,Marseille,Rail,Pharmaceuticals,2542.43,408.21,2.4,4.5,Storm,0.995,7.27,1,9075.73
SC-10833,2024-07-05,2024-07-01,Antwerp,Rotterdam,Air,Automotive,3057.61,216.6,2.04,1.3,Hurricane,0.851,0.69,1,9385.31
SC-10835,2024-08-05,2024-08-01,Los Angeles,Shanghai,Sea,Pharmaceuticals,6574.42,298.11,4.39,5.7,Clear,0.703,12.58,0,8971.96
SC-10836,2024-12-29,2024-12-01,Singapore,Dubai,Sea,Textiles,13765.27,443.41,3.1,9.0,Fog,0.667,41.68,0,8916.32
SC-10837,2024-09-21,2024-09-01,Dubai,Marseille,Road,Electronics,5754.71,206.06,4.14,5.0,Hurricane,0.672,33.37,1,9237.48
SC-10838,2024-12-14,2024-12-01,Los Angeles,Busan,Air,Electronics,8918.53,302.55,3.35,9.4,Hurricane,0.88,5.44,1,8916.32
SC-10839,2024-10-13,2024-10-01,Antwerp,Singapore,Air,Textiles,9667.83,315.38,2.77,8.9,Rain,0.792,0.68,0,9533.99
SC-10842,2024-10-09,2024-10-01,Los Angeles,Shanghai,Road,Automotive,3081.52,47.69,4.07,3.2,Storm,0.648,5.98,1,9533.99
SC-10844,2024-01-11,2024-01-01,Antwerp,Singapore,Rail,Pharmaceuticals,2655.61,436.89,1.63,0.5,Rain,0.977,2.16,1,8338.88
SC-10846,2024-07-14,2024-07-01,Los Angeles,Rotterdam,Road,Automotive,1737.57,106.54,3.14,7.2,Rain,0.906,2.73,0,9385.31
SC-10847,2024-03-28,2024-03-01,Hamburg,Los Angeles,Air,Textiles,14954.68,368.28,4.13,7.7,Clear,0.61,0.81,1,8689.13
SC-10848,2024-09-04,2024-09-01,Shanghai,Dubai,Sea,Perishables,7781.83,160.69,4.29,1.5,Fog,0.766,17.65,0,9237.48
SC-10852,2024-09-03,2024-09-01,Hamburg,Dubai,Air,Perishables,3543.63,425.94,3.27,1.6,Clear,0.52,0.64,0,9237.48
SC-10859,2024-01-18,2024-01-01,Hamburg,Busan,Rail,Pharmaceuticals,1452.78,293.71,3.2,4.9,Rain,0.844,1.63,0,8338.88
SC-10860,2024-04-05,2024-04-01,Shanghai,Los Angeles,Air,Pharmaceuticals,11745.15,228.24,4.33,0.8,Fog,0.639,1.16,0,9464.43
SC-10861,2024-10-28,2024-10-01,Busan,Shanghai,Sea,Automotive,7072.69,259.49,2.32,9.9,Clear,0.723,14.75,1,9533.99
SC-10862,2024-08-14,2024-08-01,Busan,Dubai,Road,Electronics,8103.66,4.72,1.56,5.9,Clear,0.714,6.13,0,8971.96
SC-10865,2024-09-06,2024-09-01,Los Angeles,Busan,Sea,Pharmaceuticals,8614.78,221.9,4.4,0.8,Storm,0.545,37.43,0,9237.48
SC-10866,2024-11-09,2024-11-01,Dubai,Antwerp,Sea,Pharmaceuticals,2750.98,366.38,1.33,8.0,Rain,0.94,6.31,1,9075.73
SC-10873,2024-12-18,2024-12-01,Hamburg,Antwerp,Air,Electronics,6426.65,415.14,2.13,5.3,Fog,0.798,0.53,1,8916.32
SC-10876,2024-12-04,2024-12-01,Busan,Rotterdam,Air,Textiles,10881.6,433.64,2.68,1.7,Clear,0.966,0.5,1,8916.32
SC-10877,2024-12-26,2024-12-01,Singapore,Los Angeles,Air,Electronics,10054.4,334.96,2.99,0.1,Storm,0.652,1.32,0,8916.32
SC-10880,2024-10-04,2024-10-01,Rotterdam,Busan,Road,Automotive,3850.58,102.92,2.44,0.3,Fog,0.657,2.39,0,9533.99
SC-10881,2024-11-09,2024-11-01,Singapore,Antwerp,Air,Perishables,10242.44,313.77,1.47,5.0,Clear,0.814,0.65,1,9075.73
SC-10882,2024-09-14,2024-09-01,Busan,Hamburg,Air,Textiles,785.8,180.01,2.48,3.1,Rain,0.881,0.5,1,9237.48
SC-10883,2024-08-24,2024-08-01,Los Angeles,Dubai,Rail,Perishables,2009.57,497.83,3.18,1.8,Clear,0.751,1.59,1,8971.96
SC-10884,2024-05-03,2024-05-01,Dubai,Shanghai,Sea,Electronics,12098.78,240.61,2.9,7.5,Hurricane,0.941,185.62,1,10139.33
SC-10885,2024-07-16,2024-07-01,Antwerp,Marseille,Sea,Perishables,3088.9,243.46,3.49,2.0,Rain,0.52,6.06,1,9385.31
SC-10886,2024-11-19,2024-11-01,Hamburg,Antwerp,Air,Pharmaceuticals,9964.82,283.36,1.38,6.9,Hurricane,0.961,6.35,1,9075.73
SC-10887,2024-05-02,2024-05-01,Busan,Los Angeles,Sea,Electronics,3953.65,458.46,2.14,3.5,Clear,0.598,6.17,0,10139.33
SC-10890,2024-07-08,2024-07-01,Singapore,Shanghai,Sea,Pharmaceuticals,10972.87,359.63,4.02,0.4,Hurricane,0.916,123.86,1,9385.31
SC-10891,2024-07-15,2024-07-01,Dubai,Busan,Rail,Textiles,12907.6,293.53,1.5,5.0,Clear,0.836,10.74,0,9385.31
SC-10892,2024-08-09,2024-08-01,Shanghai,Rotterdam,Air,Perishables,12538.19,246.69,3.95,8.5,Fog,0.588,0.74,1,8971.96
SC-10894,2024-10-10,2024-10-01,Singapore,Hamburg,Air,Pharmaceuticals,10187.23,232.5,3.22,2.8,Hurricane,0.623,3.79,1,9533.99
SC-10898,2024-10-16,2024-10-01,Busan,Antwerp,Rail,Electronics,688.53,476.18,1.62,0.4,Rain,0.611,0.5,0,9533.99
SC-10899,2024-04-12,2024-04-01,Rotterdam,Singapore,Road,Textiles,1739.87,266.99,2.23,0.7,Clear,0.752,0.5,0,9464.43
SC-10900,2024-07-17,2024-07-01,Los Angeles,Shanghai,Road,Automotive,3514.35,316.14,2.9,3.3,Clear,0.915,2.16,0,9385.31
SC-10901,2024-10-30,2024-10-01,Hamburg,Rotterdam,Rail,Pharmaceuticals,884.72,271.93,3.14,2.3,Fog,0.574,1.34,0,9533.99
SC-10902,2024-08-20,2024-08-01,Antwerp,Dubai,Road,Perishables,3130.81,65.56,3.81,2.6,Fog,0.774,3.17,0,8971.96
SC-10904,2024-07-02,2024-07-01,Shanghai,Rotterdam,Air,Pharmaceuticals,6610.66,50.47,3.21,2.0,Fog,0.93,1.14,0,9385.31
SC-10905,2024-11-05,2024-11-01,Los Angeles,Dubai,Air,Electronics,13443.74,311.85,2.56,1.3,Clear,0.968,1.59,0,9075.73
SC-10906,2024-01-15,2024-01-01,Antwerp,Los Angeles,Road,Textiles,12352.93,223.99,2.76,9.3,Fog,0.892,16.07,1,8338.88
SC-10909,2024-05-09,2024-05-01,Singapore,Dubai,Air,Perishables,6005.54,83.12,1.96,2.5,Rain,0.556,0.5,1,10139.33
SC-10910,2024-10-07,2024-10-01,Los Angeles,Dubai,Road,Textiles,9059.28,203.76,1.22,9.3,Storm,0.855,23.98,1,9533.99
SC-10911,2024-02-16,2024-02-01,Busan,Rotterdam,Road,Textiles,4386.92,463.37,3.35,7.6,Rain,0.996,4.49,1,8304.95
SC-10912,2024-02-25,2024-02-01,Shanghai,Dubai,Rail,Electronics,9550.16,355.5,1.87,7.9,Rain,0.868,10.85,1,8304.95
SC-10914,2024-10-26,2024-10-01,Busan,Singapore,Sea,Automotive,8504.68,259.12,4.03,8.4,Rain,0.748,19.88,1,9533.99
SC-10916,2024-05-09,2024-05-01,Hamburg,Singapore,Sea,Perishables,4769.75,492.3,1.55,2.6,Clear,0.845,7.71,0,10139.33
SC-10919,2024-04-15,2024-04-01,Singapore,Busan,Air,Electronics,2531.64,293.32,2.11,7.8,Hurricane,0.612,1.64,1,9464.43
SC-10920,2024-01-13,2024-01-01,Shanghai,Dubai,Sea,Electronics,13092.79,55.63,3.57,8.9,Rain,0.971,31.25,0,8338.88
SC-10922,2024-10-18,2024-10-01,Busan,Shanghai,Road,Perishables,13471.01,88.22,2.27,2.4,Rain,0.618,10.54,0,9533.99
SC-10926,2024-12-14,2024-12-01,Singapore,Los Angeles,Sea,Textiles,4395.82,388.63,3.95,1.5,Hurricane,0.703,51.57,1,8916.32
SC-10927,2024-07-07,2024-07-01,Los Angeles,Shanghai,Rail,Electronics,8353.7,337.04,2.59,8.6,Storm,0.519,25.23,1,9385.31
SC-10928,2024-02-22,2024-02-01,Shanghai,Hamburg,Air,Electronics,9685.43,307.64,3.1,3.3,Fog,0.524,0.74,0,8304.95
SC-10929,2024-09-15,2024-09-01,Los Angeles,Shanghai,Rail,Perishables,4239.37,446.34,4.08,3.7,Rain,0.642,5.15,1,9237.48
SC-10931,2024-04-26,2024-04-01,Dubai,Antwerp,Air,Textiles,12606.49,166.13,2.43,3.3,Clear,0.792,0.5,0,9464.43
SC-10932,2024-03-07,2024-03-01,Singapore,Dubai,Road,Perishables,14773.83,124.9,1.89,8.9,Clear,0.817,12.6,1,8689.13
SC-10935,2024-03-16,2024-03-01,Shanghai,Los Angeles,Sea,Electronics,4448.46,366.57,1.83,0.3,Hurricane,0.553,49.79,1,8689.13
SC-10939,2024-02-24,2024-02-01,Singapore,Marseille,Air,Electronics,8859.49,141.36,1.27,8.8,Clear,0.82,0.5,0,8304.95
SC-10940,2024-06-04,2024-06-01,Busan,Hamburg,Road,Electronics,4473.8,206.15,3.25,4.4,Clear,0.908,2.79,0,9648.17
SC-10941,2024-06-01,2024-06-01,Rotterdam,Antwerp,Air,Pharmaceuticals,8535.58,117.93,3.38,2.7,Rain,0.876,0.91,1,9648.17
SC-10943,2024-11-07,2024-11-01,Shanghai,Marseille,Road,Perishables,12531.26,439.82,2.26,1.4,Storm,0.833,24.18,1,9075.73
SC-10944,2024-03-28,2024-03-01,Los Angeles,Busan,Road,Textiles,3493.11,482.84,2.32,2.6,Rain,0.868,3.45,0,8689.13
SC-10945,2024-09-11,2024-09-01,Rotterdam,Marseille,Rail,Electronics,659.44,171.44,3.44,5.5,Hurricane,0.636,5.5,1,9237.48
SC-10946,2024-05-01,2024-05-01,Busan,Dubai,Air,Textiles,2484.84,169.91,1.39,2.4,Hurricane,0.997,0.7,1,10139.33
SC-10952,2024-08-19,2024-08-01,Rotterdam,Singapore,Air,Pharmaceuticals,3042.88,395.25,1.94,3.3,Rain,0.897,0.81,0,8971.96
SC-10957,2024-10-31,2024-10-01,Dubai,Singapore,Sea,Automotive,1181.01,184.99,3.52,4.8,Hurricane,0.972,16.27,1,9533.99
SC-10960,2024-11-08,2024-11-01,Los Angeles,Singapore,Rail,Perishables,1700.58,200.78,2.24,5.6,Hurricane,0.927,12.0,1,9075.73
SC-10963,2024-03-02,2024-03-01,Dubai,Shanghai,Rail,Pharmaceuticals,6144.79,386.15,2.37,2.7,Fog,0.754,6.44,0,8689.13
SC-10965,2024-04-11,2024-04-01,Hamburg,Marseille,Sea,Electronics,5657.25,448.87,1.75,3.6,Storm,0.668,28.63,0,9464.43
SC-10966,2024-07-31,2024-07-01,Singapore,Hamburg,Sea,Perishables,10926.17,453.97,1.69,5.4,Clear,0.858,18.93,0,9385.31
SC-10968,2024-08-04,2024-08-01,Busan,Dubai,Air,Perishables,8712.87,468.31,3.37,3.8,Hurricane,0.813,4.91,1,8971.96
SC-10969,2024-09-27,2024-09-01,Hamburg,Antwerp,Rail,Automotive,7402.73,412.94,1.84,7.2,Rain,0.752,8.59,1,9237.48
SC-10971,2024-03-24,2024-03-01,Los Angeles,Dubai,Air,Pharmaceuticals,14084.03,101.25,4.32,0.1,Fog,0.846,0.64,0,8689.13
SC-10972,2024-06-09,2024-06-01,Rotterdam,Busan,Air,Perishables,11122.3,402.75,2.01,9.3,Storm,0.626,2.42,1,9648.17
SC-10973,2024-09-02,2024-09-01,Dubai,Singapore,Road,Electronics,3616.64,425.22,3.41,5.1,Hurricane,0.955,22.35,1,9237.48
SC-10974,2024-06-26,2024-06-01,Dubai,Antwerp,Sea,Pharmaceuticals,952.16,145.29,3.64,7.0,Clear,0.647,1.48,0,9648.17
SC-10976,2024-03-17,2024-03-01,Hamburg,Busan,Sea,Automotive,9128.63,25.88,4.29,4.7,Rain,0.551,18.08,1,8689.13
SC-10977,2024-06-09,2024-06-01,Rotterdam,Busan,Rail,Automotive,1245.67,75.8,3.63,8.3,Hurricane,0.95,9.21,1,9648.17
SC-10978,2024-01-03,2024-01-01,Shanghai,Marseille,Road,Pharmaceuticals,7697.31,269.25,2.71,1.8,Rain,0.643,6.94,0,8338.88
SC-10984,2024-10-25,2024-10-01,Busan,Singapore,Sea,Electronics,11058.74,72.39,2.19,5.3,Fog,0.957,28.81,0,9533.99
SC-10985,2024-02-03,2024-02-01,Singapore,Rotterdam,Rail,Pharmaceuticals,7684.62,7.99,1.91,3.3,Storm,0.539,18.52,1,8304.95
SC-10986,2024-08-25,2024-08-01,Antwerp,Shanghai,Road,Automotive,10481.83,283.86,1.32,9.8,Rain,0.913,11.31,1,8971.96
SC-10987,2024-10-22,2024-10-01,Rotterdam,Dubai,Rail,Pharmaceuticals,6805.0,466.2,1.34,3.2,Fog,0.774,8.57,0,9533.99
SC-10989,2024-10-16,2024-10-01,Dubai,Los Angeles,Air,Textiles,12376.98,411.51,3.44,5.3,Storm,0.746,2.53,1,9533.99
SC-10992,2024-03-13,2024-03-01,Shanghai,Los Angeles,Sea,Pharmaceuticals,4446.1,230.32,4.0,9.6,Fog,0.881,14.11,0,8689.13
SC-10994,2024-08-27,2024-08-01,Los Angeles,Singapore,Road,Textiles,5734.12,37.03,4.07,9.4,Storm,0.728,14.93,1,8971.96
SC-10995,2024-09-27,2024-09-01,Busan,Singapore,Air,Automotive,1827.94,342.53,2.39,0.1,Clear,0.575,0.5,0,9237.48
SC-10999,2024-07-21,2024-07-01,Antwerp,Singapore,Rail,Pharmaceuticals,6967.08,75.54,3.06,9.0,Storm,0.714,20.95,1,9385.31
SC-11001,2024-04-27,2024-04-01,Shanghai,Marseille,Road,Textiles,8357.56,87.02,1.66,0.0,Storm,0.741,15.03,1,9464.43
SC-11003,2024-08-18,2024-08-01,Shanghai,Dubai,Rail,Pharmaceuticals,11117.26,306.95,2.24,0.3,Rain,0.537,8.79,0,8971.96
SC-11005,2024-06-01,2024-06-01,Rotterdam,Hamburg,Air,Perishables,10052.36,481.21,4.33,2.2,Storm,0.776,2.38,0,9648.17
SC-11006,2024-09-29,2024-09-01,Rotterdam,Marseille,Road,Automotive,10538.01,259.66,3.32,4.7,Fog,0.974,11.88,1,9237.48
SC-11007,2024-05-25,2024-05-01,Singapore,Rotterdam,Sea,Automotive,12813.34,37.38,4.09,0.6,Storm,0.537,55.2,1,10139.33
SC-11008,2024-03-14,2024-03-01,Los Angeles,Busan,Sea,Electronics,4120.19,313.79,3.43,5.2,Fog,0.522,11.46,0,8689.13
SC-11009,2024-03-02,2024-03-01,Shanghai,Marseille,Sea,Pharmaceuticals,7596.66,127.35,2.38,3.8,Hurricane,0.578,99.82,1,8689.13
SC-11010,2024-06-18,2024-06-01,Busan,Rotterdam,Air,Pharmaceuticals,3707.54,402.04,2.89,0.4,Fog,0.821,0.5,0,9648.17
SC-11011,2024-11-10,2024-11-01,Los Angeles,Dubai,Air,Perishables,14821.19,409.09,3.43,3.4,Fog,0.699,1.54,0,9075.73
SC-11014,2024-10-22,2024-10-01,Antwerp,Busan,Air,Perishables,10730.84,228.02,4.09,2.1,Fog,0.598,1.11,0,9533.99
SC-11016,2024-05-07,2024-05-01,Hamburg,Los Angeles,Road,Automotive,3118.34,67.1,3.41,9.9,Storm,0.813,7.91,1,10139.33
SC-11019,2024-11-07,2024-11-01,Los Angeles,Hamburg,Road,Pharmaceuticals,992.22,45.65,4.34,9.7,Rain,0.972,0.76,1,9075.73
SC-11022,2024-10-05,2024-10-01,Los Angeles,Marseille,Air,Automotive,13903.74,428.22,4.19,1.1,Hurricane,0.762,6.03,1,9533.99
SC-11027,2024-03-23,2024-03-01,Dubai,Marseille,Rail,Perishables,12745.97,65.32,2.75,7.5,Storm,0.794,36.3,1,8689.13
SC-11029,2024-02-10,2024-02-01,Dubai,Los Angeles,Road,Pharmaceuticals,12519.27,51.48,1.25,8.8,Rain,0.845,11.96,0,8304.95
SC-11031,2024-11-26,2024-11-01,Hamburg,Shanghai,Rail,Electronics,9145.91,178.68,1.21,2.1,Clear,0.922,6.7,0,9075.73
SC-11033,2024-09-13,2024-09-01,Shanghai,Singapore,Air,Electronics,2248.22,117.61,3.6,4.2,Hurricane,0.507,1.63,1,9237.48
SC-11034,2024-01-27,2024-01-01,Hamburg,Los Angeles,Sea,Automotive,1615.82,319.96,3.84,7.5,Rain,0.634,4.28,1,8338.88
SC-11035,2024-04-03,2024-04-01,Shanghai,Singapore,Rail,Textiles,10596.19,118.61,4.32,5.5,Hurricane,0.596,75.52,1,9464.43
SC-11036,2024-08-22,2024-08-01,Los Angeles,Marseille,Air,Textiles,5428.19,357.12,3.21,3.8,Fog,0.754,1.52,1,8971.96
SC-11040,2024-01-22,2024-01-01,Antwerp,Busan,Air,Textiles,8322.62,297.19,3.1,1.1,Storm,0.853,1.19,0,8338.88
SC-11042,2024-10-02,2024-10-01,Los Angeles,Dubai,Road,Automotive,5121.91,214.34,4.25,0.4,Rain,0.993,4.28,0,9533.99
SC-11044,2024-02-11,2024-02-01,Rotterdam,Dubai,Air,Textiles,13346.68,350.47,2.42,3.6,Fog,0.935,1.67,0,8304.95
SC-11045,2024-06-28,2024-06-01,Antwerp,Hamburg,Sea,Perishables,9430.02,379.68,3.55,6.4,Rain,0.88,20.12,0,9648.17
SC-11050,2024-10-11,2024-10-01,Shanghai,Los Angeles,Sea,Textiles,13183.17,257.25,1.28,7.6,Hurricane,0.769,202.42,1,9533.99
SC-11051,2024-07-04,2024-07-01,Rotterdam,Dubai,Sea,Perishables,8169.59,475.19,1.64,5.3,Rain,0.609,17.42,0,9385.31
SC-11056,2024-04-03,2024-04-01,Busan,Los Angeles,Rail,Electronics,11624.23,236.48,3.18,3.5,Hurricane,0.98,75.89,1,9464.43
SC-11058,2024-12-22,2024-12-01,Dubai,Hamburg,Road,Textiles,7458.2,423.55,1.75,4.3,Storm,0.923,16.74,1,8916.32
SC-11060,2024-12-07,2024-12-01,Dubai,Rotterdam,Sea,Automotive,13168.32,202.36,3.69,3.6,Rain,0.719,25.58,1,8916.32
SC-11061,2024-11-24,2024-11-01,Antwerp,Hamburg,Sea,Automotive,14769.21,167.32,1.49,1.3,Clear,0.735,21.46,1,9075.73
SC-11063,2024-04-17,2024-04-01,Dubai,Rotterdam,Rail,Automotive,6557.62,286.81,3.88,2.8,Hurricane,0.69,41.84,1,9464.43
SC-11064,2024-06-13,2024-06-01,Los Angeles,Busan,Air,Electronics,6609.68,119.93,1.31,0.5,Clear,0.799,0.5,0,9648.17
SC-11065,2024-12-03,2024-12-01,Los Angeles,Shanghai,Air,Textiles,11194.94,397.18,1.5,6.9,Storm,0.79,2.29,1,8916.32
SC-11069,2024-10-22,2024-10-01,Busan,Marseille,Air,Electronics,4664.97,120.18,2.96,0.6,Rain,0.806,0.59,0,9533.99
SC-11073,2024-02-07,2024-02-01,Singapore,Busan,Air,Electronics,759.17,230.88,1.35,8.8,Fog,0.536,0.5,1,8304.95
SC-11075,2024-03-31,2024-03-01,Singapore,Dubai,Road,Automotive,6702.71,18.54,2.95,1.8,Hurricane,0.51,34.78,1,8689.13
SC-11076,2024-11-18,2024-11-01,Rotterdam,Hamburg,Sea,Textiles,6072.74,162.25,2.55,2.6,Clear,0.623,9.17,0,9075.73
SC-11077,2024-09-15,2024-09-01,Hamburg,Shanghai,Road,Textiles,10354.89,272.51,2.1,0.8,Storm,0.827,18.91,0,9237.48
SC-11078,2024-11-27,2024-11-01,Singapore,Shanghai,Air,Pharmaceuticals,3664.68,276.3,1.63,7.8,Storm,0.531,1.48,1,9075.73
SC-11079,2024-04-28,2024-04-01,Hamburg,Dubai,Air,Electronics,14274.44,178.92,3.9,0.7,Fog,0.718,2.16,0,9464.43
SC-11082,2024-01-02,2024-01-01,Dubai,Rotterdam,Air,Electronics,6554.92,189.3,2.46,2.4,Rain,0.653,0.5,1,8338.88
SC-11087,2024-02-25,2024-02-01,Singapore,Busan,Sea,Pharmaceuticals,2921.99,103.79,3.05,8.7,Clear,0.935,6.53,0,8304.95
SC-11088,2024-07-11,2024-07-01,Busan,Hamburg,Air,Perishables,14871.95,354.94,2.69,6.5,Fog,0.733,2.03,0,9385.31
SC-11095,2024-02-22,2024-02-01,Los Angeles,Hamburg,Air,Textiles,3059.66,371.26,2.24,9.8,Clear,0.505,0.5,0,8304.95
SC-11096,2024-07-27,2024-07-01,Hamburg,Los Angeles,Road,Automotive,3697.05,27.09,3.51,4.9,Storm,0.891,7.57,1,9385.31
SC-11097,2024-09-30,2024-09-01,Hamburg,Antwerp,Sea,Textiles,3203.35,426.42,3.93,3.9,Fog,0.529,7.87,1,9237.48
SC-11099,2024-05-14,2024-05-01,Antwerp,Hamburg,Air,Automotive,5576.82,437.32,4.46,8.5,Rain,0.819,0.5,1,10139.33
SC-11100,2024-10-21,2024-10-01,Los Angeles,Busan,Air,Perishables,1338.72,176.91,2.1,6.5,Rain,0.843,0.5,1,9533.99
SC-11104,2024-05-04,2024-05-01,Rotterdam,Los Angeles,Sea,Electronics,14926.16,64.19,3.62,7.8,Clear,0.533,27.81,1,10139.33
SC-11105,2024-01-30,2024-01-01,Busan,Shanghai,Road,Pharmaceuticals,3021.48,90.08,1.54,3.3,Hurricane,0.568,16.98,1,8338.88
SC-11108,2024-09-02,2024-09-01,Singapore,Marseille,Rail,Perishables,10592.3,98.79,2.16,0.5,Clear,0.581,6.9,0,9237.48
SC-11110,2024-06-11,2024-06-01,Shanghai,Hamburg,Road,Automotive,12329.58,488.27,3.32,4.0,Fog,0.956,13.99,1,9648.17
SC-11111,2024-11-14,2024-11-01,Singapore,Los Angeles,Air,Perishables,3754.39,188.75,1.89,2.3,Fog,0.508,0.5,0,9075.73
SC-11113,2024-01-15,2024-01-01,Dubai,Shanghai,Road,Pharmaceuticals,8286.13,272.87,2.63,10.0,Clear,0.537,7.72,1,8338.88
SC-11116,2024-04-05,2024-04-01,Shanghai,Antwerp,Road,Electronics,1826.56,329.79,4.26,9.4,Fog,0.711,2.73,1,9464.43
SC-11117,2024-08-18,2024-08-01,Los Angeles,Antwerp,Rail,Pharmaceuticals,13223.18,494.57,2.95,3.4,Rain,0.901,13.96,0,8971.96
SC-11118,2024-04-26,2024-04-01,Singapore,Antwerp,Rail,Pharmaceuticals,4351.2,133.26,3.69,3.0,Rain,0.641,2.86,1,9464.43
SC-11120,2024-04-30,2024-04-01,Singapore,Los Angeles,Air,Pharmaceuticals,13386.85,26.96,3.66,8.3,Fog,0.706,0.5,1,9464.43
SC-11122,2024-06-06,2024-06-01,Singapore,Busan,Air,Automotive,13000.85,2.96,2.42,2.4,Clear,0.757,1.25,1,9648.17
SC-11124,2024-10-25,2024-10-01,Rotterdam,Marseille,Rail,Electronics,10001.01,401.33,1.26,5.1,Clear,0.916,9.4,1,9533.99
SC-11127,2024-10-06,2024-10-01,Rotterdam,Hamburg,Sea,Electronics,6422.57,150.73,2.52,3.8,Clear,0.897,11.2,0,9533.99
SC-11131,2024-09-06,2024-09-01,Shanghai,Rotterdam,Air,Textiles,7690.2,378.4,2.15,9.3,Hurricane,0.507,4.58,1,9237.48
SC-11134,2024-05-28,2024-05-01,Hamburg,Los Angeles,Road,Pharmaceuticals,10407.25,10.0,3.06,2.1,Fog,0.851,10.92,0,10139.33
SC-11136,2024-07-14,2024-07-01,Rotterdam,Dubai,Sea,Perishables,12842.5,205.84,2.22,4.3,Hurricane,0.986,173.02,1,9385.31
SC-11139,2024-05-19,2024-05-01,Shanghai,Rotterdam,Air,Textiles,9089.91,401.11,4.45,1.1,Rain,0.51,0.5,1,10139.33
SC-11140,2024-03-12,2024-03-01,Busan,Dubai,Air,Electronics,12457.87,233.72,3.73,4.5,Fog,0.892,1.09,1,8689.13
SC-11141,2024-10-09,2024-10-01,Singapore,Busan,Sea,Textiles,5543.23,181.47,4.31,1.9,Fog,0.54,13.32,0,9533.99
SC-11143,2024-12-14,2024-12-01,Hamburg,Singapore,Air,Electronics,8703.11,438.09,3.75,9.6,Fog,0.787,0.97,1,8916.32
SC-11145,2024-09-30,2024-09-01,Antwerp,Marseille,Rail,Textiles,13240.13,84.89,3.41,1.0,Hurricane,0.843,76.87,1,9237.48
SC-11146,2024-01-03,2024-01-01,Antwerp,Dubai,Sea,Textiles,12062.68,256.62,2.75,7.9,Rain,0.697,27.57,1,8338.88
SC-11147,2024-10-16,2024-10-01,Rotterdam,Singapore,Rail,Textiles,10047.55,244.2,2.34,7.0,Hurricane,0.887,75.18,1,9533.99
SC-11148,2024-11-01,2024-11-01,Rotterdam,Marseille,Rail,Electronics,12833.44,312.92,4.05,3.5,Hurricane,0.987,84.08,1,9075.73
SC-11153,2024-06-01,2024-06-01,Los Angeles,Dubai,Road,Electronics,10362.04,32.39,2.57,3.0,Fog,0.841,11.03,1,9648.17
SC-11157,2024-12-19,2024-12-01,Hamburg,Los Angeles,Air,Perishables,13272.63,361.94,1.79,0.7,Hurricane,0.85,5.98,1,8916.32
SC-11158,2024-12-06,2024-12-01,Antwerp,Busan,Sea,Textiles,13141.73,68.89,3.39,2.5,Storm,0.998,61.01,1,8916.32
SC-11163,2024-11-25,2024-11-01,Antwerp,Los Angeles,Sea,Pharmaceuticals,11280.87,186.78,3.71,3.9,Hurricane,0.568,149.35,1,9075.73
